booking_id,customer_email,trek_location,package_duration_days,difficulty_level,booking_date,season,price_per_person,group_size,total_amount,cancellation_status,number_of_people_cancelled,customer_age,customer_city
1,user1@gmail.com,Hampta Pass,5,Moderate,26-10-2023,Peak,14400,4,57600,Completed,0,29,Chennai
2,user2@gmail.com,Sandakphu,6,Difficult,15-03-2025,Moderate,15000,3,45000,Completed,0,25,Hyderabad
3,user3@gmail.com,Kedarkantha,7,Moderate,06-09-2023,Moderate,14000,6,84000,Completed,0,21,Chennai
4,user4@gmail.com,Triund,2,Easy,23-02-2024,Peak,4800,2,9600,Completed,0,31,Pune
5,user5@gmail.com,Hampi,5,Easy,16-10-2023,Peak,10800,3,32400,Completed,0,44,Pune
6,user6@gmail.com,Hampta Pass,5,Moderate,05-04-2025,Moderate,12000,5,60000,Completed,0,42,Pune
7,user7@gmail.com,Hampi,5,Easy,12-09-2023,Moderate,9000,1,9000,Completed,0,27,Hyderabad
8,user8@gmail.com,Hampi,5,Easy,29-11-2023,Peak,10800,2,21600,Completed,0,33,Bangalore
9,user9@gmail.com,Hampi,5,Easy,04-03-2025,Moderate,9000,5,45000,Completed,0,21,Hyderabad
10,user10@gmail.com,Sandakphu,6,Difficult,21-05-2024,Moderate,15000,5,75000,Completed,0,50,Chennai
11,user11@gmail.com,Sandakphu,6,Difficult,16-08-2024,Off,12750,5,63750,Completed,0,39,Hyderabad
12,user12@gmail.com,Hampta Pass,5,Moderate,13-01-2025,Peak,14400,4,57600,Completed,0,24,Delhi
13,user13@gmail.com,Triund,2,Easy,08-06-2025,Off,3400,2,6800,Completed,0,45,Hyderabad
14,user14@gmail.com,Valley of Flowers,6,Moderate,07-10-2025,Peak,15600,3,46800,Completed,0,55,Delhi
15,user15@gmail.com,Kedarkantha,7,Moderate,04-12-2023,Peak,16800,3,50400,Completed,0,25,Chennai
16,user16@gmail.com,Valley of Flowers,6,Moderate,14-04-2023,Moderate,13000,2,26000,Completed,0,51,Hyderabad
17,user17@gmail.com,Sandakphu,6,Difficult,19-03-2024,Moderate,15000,6,90000,Completed,0,40,Delhi
18,user18@gmail.com,Kedarkantha,7,Moderate,22-07-2025,Off,11900,6,71400,Cancelled - Full Refund,6,51,Mumbai
